=== Sweep: 3 datasets × 4 strategies × 4 budgets = 48 runs ===


[1] ring | Baseline | b=0.0
  Epoch 03/25 | Loss 1.9522 | Val 0.1113 | Test 0.1380
  Epoch 04/25 | Loss 1.7749 | Val 0.4037 | Test 0.4110
  Epoch 05/25 | Loss 1.5990 | Val 0.3400 | Test 0.3610
  Epoch 06/25 | Loss 1.4666 | Val 0.4700 | Test 0.4750
  Epoch 07/25 | Loss 1.3510 | Val 0.5337 | Test 0.5330
  Epoch 08/25 | Loss 1.2930 | Val 0.5913 | Test 0.5680
  Epoch 09/25 | Loss 1.2005 | Val 0.6162 | Test 0.6220
  Epoch 10/25 | Loss 1.1612 | Val 0.6362 | Test 0.6180
  Epoch 11/25 | Loss 1.1131 | Val 0.6388 | Test 0.6350
  Epoch 12/25 | Loss 1.0753 | Val 0.6725 | Test 0.6530
  Epoch 13/25 | Loss 1.0404 | Val 0.6575 | Test 0.6460
  Epoch 14/25 | Loss 1.0031 | Val 0.6787 | Test 0.6820
  Epoch 15/25 | Loss 0.9970 | Val 0.6650 | Test 0.6770
  Epoch 16/25 | Loss 0.9764 | Val 0.6737 | Test 0.6810
  Epoch 17/25 | Loss 0.9532 | Val 0.7000 | Test 0.6930
  Epoch 18/25 | Loss 0.9460 | Val 0.6863 | Test 0.6880
  Epoch 19/25 | Loss 0.9181 | Val 0.7037 | Test 0.7030
  Epoch 20/25 | Loss 0.9005 | Val 0.6937 | Test 0.6880
  Epoch 21/25 | Loss 0.9032 | Val 0.7075 | Test 0.7060
  Epoch 22/25 | Loss 0.8828 | Val 0.7100 | Test 0.7010
  Epoch 23/25 | Loss 0.8842 | Val 0.7163 | Test 0.7010
  Epoch 24/25 | Loss 0.8879 | Val 0.7125 | Test 0.6960
  Epoch 25/25 | Loss 0.8789 | Val 0.7087 | Test 0.7040
  → acc=0.701 | MAD=0.002 | jac=2.5315 | E=1657

[32] mnist | K-hop | b=0.0
